sex_male,race_white,years_experience,referred,gcse,a_level,russell_group,honours,years_volunteer,income,it_skills,years_gaps,quality_cv,employed_yes
1,1,9,1,8,2,0,1,1,29827.732589362222,2,3,2,1
0,1,5,1,7,3,0,1,1,28451.99731105827,0,1,0,0
1,0,4,1,6,2,0,1,1,22631.139761153798,3,0,2,0
0,1,12,1,8,3,1,1,0,22382.05856905521,1,3,1,1
1,0,7,1,6,3,0,0,1,41561.10242613157,2,0,2,1
1,1,10,1,9,4,1,1,2,23117.832936130697,3,1,3,1
0,0,4,0,8,3,1,1,0,24250.325431108737,2,0,2,0
0,0,1,1,6,4,1,1,0,25641.688682923002,1,1,0,0
1,0,1,0,7,2,0,1,2,24283.587146255886,2,0,2,0
0,1,7,1,9,4,1,1,0,30523.838432916127,2,2,2,1
1,0,10,1,6,2,0,1,0,38205.30476121271,2,0,2,1
0,0,4,1,8,4,1,1,0,17021.637793371265,2,1,3,0
0,1,8,1,9,3,0,1,0,31613.74975635282,1,2,2,0
1,0,3,1,4,2,0,1,0,27564.09450987896,3,0,1,0
1,1,9,1,7,4,1,1,0,36916.543477003404,2,0,3,1
0,1,7,1,7,3,0,1,2,47187.43083886731,1,2,3,1
1,1,7,1,7,3,0,1,1,28269.776157416123,2,1,2,1
0,1,5,1,9,4,1,1,0,22251.26193732971,1,0,2,1
0,1,9,0,6,4,1,1,2,31065.3433289627,2,3,1,1
0,0,5,0,7,4,1,1,0,30918.956417348076,1,2,3,0
0,0,10,0,5,4,1,1,0,37233.447594824465,0,2,1,1
0,1,3,0,5,3,0,1,0,24859.089052476967,2,0,1,0
0,1,3,0,9,3,1,1,1,36538.23161701761,1,0,2,0
1,1,5,1,8,4,0,1,0,23555.471170639423,0,0,1,0
0,1,3,1,8,4,1,1,0,24731.44290397749,1,0,1,1
0,0,7,1,7,3,1,0,1,36750.25987913998,2,1,1,0
0,1,7,0,8,3,0,1,1,34226.07414208602,3,0,3,1
0,0,5,1,4,4,1,1,0,32342.316730125178,0,1,2,0
1,1,2,1,9,4,1,0,0,27718.039191741787,3,0,2,1
1,0,9,1,5,3,0,1,0,25724.645650073955,3,0,1,1
1,1,6,1,8,4,1,1,1,33326.804812761766,3,0,3,1
1,0,2,1,7,2,1,1,0,25508.976610698617,1,1,2,0
0,0,6,0,2,1,0,1,1,32956.55309133246,1,1,1,0
1,1,6,1,8,3,0,0,0,30631.245874866905,3,0,2,1
0,0,2,1,5,3,0,1,0,23826.173481400187,1,0,3,0
0,0,9,1,3,2,1,1,1,32009.666575740823,0,6,0,0
0,0,8,0,4,3,0,1,1,37795.506796837515,2,2,2,0
0,0,6,0,7,3,0,0,0,21534.801982178953,2,3,1,0
1,1,4,1,6,3,0,1,0,35190.2779918547,2,0,1,0
0,1,6,1,7,4,1,1,0,35932.78911190144,1,2,2,1
1,0,9,0,6,2,0,1,0,12087.86638868865,2,1,1,0
1,0,5,1,5,3,0,0,1,34473.25065517887,3,0,3,1
1,1,5,1,9,4,1,1,0,22102.55564077403,2,0,1,1
1,0,7,1,8,4,1,1,0,30249.436745017876,2,0,2,1
0,0,2,0,4,3,0,0,1,24321.43203058569,3,0,1,0
0,1,4,0,10,3,0,0,0,27382.899656017336,1,1,3,1
0,1,2,0,6,1,1,1,1,19609.60255416546,2,2,0,0
0,1,6,1,7,4,1,1,0,25148.53380251428,2,0,2,1
1,0,6,0,5,0,0,0,0,24359.338546112307,3,0,3,0
1,1,2,1,10,3,0,1,0,20621.118796649065,3,0,1,1
1,1,4,1,9,4,0,1,1,22445.409682264817,3,0,3,1
1,0,5,1,4,2,0,1,0,31650.708872873554,2,0,2,1
1,1,7,1,8,3,0,1,0,21168.230695536193,0,1,1,1
0,1,2,0,9,4,1,1,0,28221.69181559711,3,2,0,0
1,1,6,1,7,3,1,1,1,26392.352235838553,2,0,1,0
0,1,9,0,5,2,0,0,0,32496.103093327536,2,0,1,1
0,0,6,0,5,4,1,1,0,26473.207080716984,1,2,1,0
0,1,5,1,7,4,1,1,0,36461.685030830704,2,0,2,1
0,1,4,1,6,3,0,1,0,26687.859312624347,1,1,3,0
1,0,2,0,7,4,0,1,1,17071.142347832756,2,0,1,0
0,1,1,0,7,1,0,0,1,21646.510847220237,0,0,3,0
0,1,2,1,5,3,0,0,0,26059.893108657587,1,0,3,0
0,0,3,0,7,2,0,0,0,19327.09448970879,3,0,3,0
0,1,6,1,7,3,0,1,0,28176.936117057925,1,0,2,1
0,1,3,1,8,3,0,1,0,24860.71757479596,2,0,1,0
1,0,4,1,6,3,0,0,1,27961.703849106954,2,0,0,0
1,1,8,1,9,4,1,1,0,31319.97782788603,1,1,2,1
1,1,5,1,6,4,1,1,0,26439.628135452545,0,0,2,0
0,0,2,0,5,2,0,1,0,23728.342209883267,2,2,2,0
0,1,11,0,8,4,1,1,0,29290.30306554209,1,1,1,1
1,1,3,1,8,2,0,1,1,27879.27833353259,2,0,0,0
1,1,7,1,7,4,1,1,0,27150.27144784249,3,2,3,1
0,0,1,0,5,3,0,1,0,18387.469187464867,1,0,1,0
0,1,8,0,10,4,0,1,1,37886.79247942829,1,2,2,1
0,1,3,0,7,4,1,1,0,23860.032787239325,0,0,2,0
1,0,9,0,4,2,0,1,0,23849.431235596196,2,0,1,1
0,1,4,0,8,3,0,1,0,29916.734748707604,1,1,1,0
0,0,3,0,5,2,0,0,0,24645.065758935703,2,1,1,0
1,1,4,1,6,1,0,0,0,31048.141390310797,1,0,3,0
0,1,2,1,7,2,0,0,0,24350.863679369293,1,0,2,0
0,1,7,1,8,4,1,1,0,39486.227992038795,1,0,2,1
1,1,1,1,7,2,0,0,2,22693.321505540378,2,0,1,0
1,1,5,1,7,4,0,1,1,25204.433368126724,3,0,1,1
0,1,7,1,6,3,0,0,1,33406.35964458547,0,0,2,1
1,0,5,0,6,0,0,0,0,18689.31104690626,2,1,3,0
1,1,2,1,8,4,1,1,3,16491.423218183998,3,0,3,0
1,1,12,1,8,3,0,1,1,35774.69482319606,3,0,3,1
0,0,8,0,5,3,0,0,0,21814.788371390438,2,3,2,0
1,1,3,1,7,1,0,1,0,28261.42784460701,2,0,1,0
1,1,10,0,9,3,0,1,0,31930.326979020316,2,2,3,1
0,0,3,1,6,2,0,1,1,20398.7388041285,2,2,2,0
0,1,1,1,5,2,0,0,0,22661.646720685665,2,0,1,0
0,1,8,0,8,3,0,0,1,29184.705512203043,0,1,3,1
1,0,4,0,5,1,0,1,0,19944.805686329,1,0,1,0
1,0,3,0,5,3,0,0,2,24665.521619972413,3,0,0,0
0,1,3,1,6,4,1,1,1,27336.873280920394,2,1,2,0
1,0,8,1,5,3,0,1,1,37868.49087347476,1,2,2,1
0,1,6,1,8,4,1,1,0,26138.47750539504,2,1,2,1
0,0,8,0,3,2,0,1,1,29069.568383484602,0,2,2,0
1,1,5,1,7,3,1,0,1,35430.23317758465,2,1,2,1
0,1,3,1,6,4,0,1,0,23067.76667373824,1,0,2,0
0,1,6,1,7,3,1,1,0,36363.798692490534,1,1,3,1
0,0,4,0,7,3,0,0,1,26884.918504632977,1,0,2,0
0,1,8,1,10,4,0,1,0,30834.579164446437,0,2,1,1
1,1,2,1,9,3,1,1,1,25003.662270331977,1,0,1,0
1,0,8,1,3,3,0,0,0,34877.108011184064,2,0,3,1
1,1,4,1,9,4,1,1,0,27416.614464830156,1,0,1,0
1,0,4,1,7,2,0,0,0,25363.430625318502,1,0,3,0
0,1,9,0,6,4,1,1,0,41935.596500877546,0,1,0,0
0,1,5,0,8,4,1,1,0,22913.667805279,2,2,2,0
0,1,2,0,6,3,0,0,1,23110.24192800431,2,0,2,0
1,1,5,1,8,3,0,1,1,23827.892257594656,3,0,1,0
0,1,3,0,7,3,1,1,0,24420.970182087352,0,0,3,0
1,0,1,0,8,3,0,1,0,12939.55041910673,2,0,2,0
0,0,5,1,5,4,1,1,0,34734.8147628105,2,3,3,0
1,1,9,1,9,2,0,0,1,23051.81025752327,2,1,2,1
1,0,5,1,4,2,0,0,0,36671.575790670584,2,0,2,0
0,0,9,0,3,3,0,1,0,32426.244383307498,0,2,3,0
0,1,4,1,9,4,1,1,0,33141.47359543803,2,0,1,0
1,0,8,1,6,2,0,1,1,41078.281306663586,1,0,0,1
1,1,5,1,7,3,1,0,0,40805.85230273758,3,0,0,0
0,1,5,1,6,2,0,1,0,37884.27041319356,3,1,2,1
1,0,4,1,3,1,1,1,2,23692.90680951222,3,1,2,0
0,1,10,1,9,4,0,1,0,45160.68074211594,1,3,1,1
0,1,5,1,7,4,1,1,0,29225.680386283086,1,0,2,0
0,0,1,0,5,3,1,1,0,20831.51710958428,2,0,2,0
0,0,12,0,6,3,0,1,0,31690.232204453074,2,1,3,1
1,0,2,1,8,1,0,0,1,25920.36114726354,3,0,2,0
1,0,7,1,7,3,0,1,1,31261.579976423636,2,2,1,1
1,1,5,1,10,3,0,1,0,33196.50306510085,2,0,1,1
0,0,5,0,7,2,0,1,0,30841.961721418706,1,1,3,0
1,0,5,0,7,2,0,0,1,29862.51207930914,3,0,1,1
1,1,5,1,5,4,1,1,0,34090.717395744716,3,0,3,1
1,1,6,1,6,2,0,1,1,29609.117491350866,2,0,0,0
0,1,8,0,7,4,0,1,0,33747.08095863142,2,1,2,1
1,1,5,1,7,1,0,0,1,35257.10885999891,3,0,0,0
0,1,4,0,8,4,1,1,1,32197.828873329698,1,2,1,0
0,1,5,0,7,4,1,1,1,40505.11389872293,1,1,1,0
1,0,9,1,8,2,0,1,1,22875.869419373776,2,2,1,1
0,1,4,0,8,4,1,1,1,29769.781328141453,1,0,2,1
0,0,2,0,6,2,0,1,0,25261.638740712136,3,0,1,0
0,0,4,0,6,2,0,1,1,29850.338943412622,3,2,0,0
0,1,8,0,9,4,1,1,0,22968.597853965606,1,1,1,1
1,1,10,0,7,4,0,0,0,38266.79803388163,2,0,3,1
1,1,5,1,4,2,0,0,0,27916.53704709181,1,0,3,0
1,0,11,1,2,0,0,1,0,45337.07963796674,2,1,1,1
0,0,5,1,5,3,0,0,1,27151.56968315909,2,4,2,0
1,0,7,0,5,3,1,1,0,34883.88235593468,3,5,2,0
1,0,3,1,2,2,0,0,0,24876.063217590457,2,0,2,0
1,0,8,0,5,1,0,1,0,28966.294824808014,3,1,3,0
1,0,5,0,3,1,0,0,1,34260.11299408076,2,0,2,0
1,1,7,1,8,2,0,0,1,34006.86551919207,3,0,1,1
1,1,5,1,9,3,0,0,1,21257.98432611981,3,0,1,0
1,1,9,1,7,4,0,1,0,27411.20224932341,2,1,0,1
1,1,1,1,6,4,1,1,0,27980.65308193797,3,0,2,0
0,0,7,0,4,3,1,1,1,32721.15886714193,0,2,2,1
0,0,6,0,3,1,0,0,0,21806.67802694816,1,3,3,0
1,1,4,1,7,3,1,1,0,27339.19243259275,2,0,2,1
1,0,0,1,7,3,1,1,0,17782.23247545604,2,0,1,0
1,0,2,1,6,3,1,0,2,25231.092561633446,1,0,3,0
0,1,2,0,8,3,1,1,0,22099.306213117554,1,0,2,0
1,1,6,1,10,4,1,1,0,44371.15504549963,2,0,3,1
0,0,6,0,7,4,0,1,0,28036.33060546711,1,1,3,0
0,1,4,0,8,3,0,1,1,31794.7505372512,1,0,2,0
0,0,5,0,6,2,0,0,0,23101.980100531095,2,3,1,0
0,0,2,0,4,1,0,0,1,14329.04710300687,2,0,0,0
0,0,6,0,7,4,1,1,0,18069.648766921186,1,1,2,0
0,1,7,0,7,3,0,1,0,37009.34434470021,2,1,0,1
0,1,4,0,9,3,0,1,0,23750.731031091058,2,3,2,0
0,1,9,0,7,4,1,1,1,44820.33348773533,1,3,3,1
1,0,7,0,8,3,0,1,3,33682.36369028447,2,1,1,0
0,1,4,1,6,4,1,1,0,25750.641642967363,2,1,1,0
1,0,5,1,6,4,1,1,0,42104.92692609591,3,0,2,0
1,1,6,1,4,4,0,1,1,27541.910418405318,1,0,3,1
0,0,4,0,6,3,0,1,1,26938.906046811935,1,1,1,0
0,1,5,1,7,3,0,1,0,27221.859955847758,1,0,3,1
0,1,7,1,9,3,0,0,0,21937.823633168307,0,0,2,1
0,1,3,1,8,3,1,1,0,30885.74347384146,2,0,1,0
1,1,3,1,4,2,0,1,0,23151.943858622413,2,0,2,0
0,1,5,0,5,1,0,0,0,31098.984088391036,2,1,3,0
1,0,11,1,6,2,0,0,1,31730.50314114692,1,1,1,1
1,1,4,1,7,3,1,1,1,27198.89186117566,2,0,3,1
0,1,3,0,8,4,1,1,1,27804.816478255856,0,0,2,0
1,1,6,1,7,3,1,1,0,26142.647824871918,3,1,3,1
0,1,4,1,9,3,1,1,1,30417.936826922385,1,0,0,0
0,0,4,0,3,3,0,0,3,28584.609761927553,1,2,3,0
1,1,6,1,7,3,1,1,1,23850.04412034968,0,0,1,0
1,1,8,1,10,4,1,0,0,41697.97515248492,2,0,3,1
1,0,2,1,7,3,1,1,0,22678.645561200836,3,0,1,0
0,1,3,1,10,4,1,1,0,31646.37587412653,2,0,2,0
0,1,7,1,10,4,1,1,0,33486.609563881226,1,3,3,1
0,1,10,0,9,4,1,1,0,36382.47268866857,1,2,1,1
0,1,5,0,7,1,0,1,2,30018.62402131637,2,0,3,0
